Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","21","Brazil","5611","Import Quantity","2511","Wheat and products","2019","2019","1000 tonnes","7156","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5072","Stock Variation","2511","Wheat and products","2010","2010","1000 tonnes","-426","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5072","Stock Variation","2511","Wheat and products","2011","2011","1000 tonnes","-1671","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5072","Stock Variation","2511","Wheat and products","2012","2012","1000 tonnes","-1828","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5072","Stock Variation","2511","Wheat and products","2013","2013","1000 tonnes","154","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5072","Stock Variation","2511","Wheat and products","2014","2014","1000 tonnes","242","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5072","Stock Variation","2511","Wheat and products","2015","2015","1000 tonnes","-1624","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5072","Stock Variation","2511","Wheat and products","2016","2016","1000 tonnes","1002","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5072","Stock Variation","2511","Wheat and products","2017","2017","1000 tonnes","-815","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5072","Stock Variation","2511","Wheat and products","2018","2018","1000 tonnes","268","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5072","Stock Variation","2511","Wheat and products","2019","2019","1000 tonnes","11","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5911","Export Quantity","2511","Wheat and products","2010","2010","1000 tonnes","1403","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5911","Export Quantity","2511","Wheat and products","2011","2011","1000 tonnes","2429","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5911","Export Quantity","2511","Wheat and products","2012","2012","1000 tonnes","2489","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5911","Export Quantity","2511","Wheat and products","2013","2013","1000 tonnes","1293","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5911","Export Quantity","2511","Wheat and products","2014","2014","1000 tonnes","394","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5911","Export Quantity","2511","Wheat and products","2015","2015","1000 tonnes","1854","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5911","Export Quantity","2511","Wheat and products","2016","2016","1000 tonnes","798","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5911","Export Quantity","2511","Wheat and products","2017","2017","1000 tonnes","738","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5911","Export Quantity","2511","Wheat and products","2018","2018","1000 tonnes","332","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","688","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5301","Domestic supply quantity","2511","Wheat and products","2010","2010","1000 tonnes","12469","S","Standardized data"
"FBS","Food Balances (2010-)","21","Brazil","5301","Domestic supply quantity","2511","Wheat and products","2011","2011","1000 tonnes","11726","S","Standardized data"
"FBS","Food Balances (2010-)","21","Brazil","5301","Domestic supply quantity","2511","Wheat and products","2012","2012","1000 tonnes","11308","S","Standardized data"
"FBS","Food Balances (2010-)","21","Brazil","5301","Domestic supply quantity","2511","Wheat and products","2013","2013","1000 tonnes","11926","S","Standardized data"
"FBS","Food Balances (2010-)","21","Brazil","5301","Domestic supply quantity","2511","Wheat and products","2014","2014","1000 tonnes","11849","S","Standardized data"
"FBS","Food Balances (2010-)","21","Brazil","5301","Domestic supply quantity","2511","Wheat and products","2015","2015","1000 tonnes","10961","S","Standardized data"
"FBS","Food Balances (2010-)","21","Brazil","5301","Domestic supply quantity","2511","Wheat and products","2016","2016","1000 tonnes","12489","S","Standardized data"
"FBS","Food Balances (2010-)","21","Brazil","5301","Domestic supply quantity","2511","Wheat and products","2017","2017","1000 tonnes","11105","S","Standardized data"
"FBS","Food Balances (2010-)","21","Brazil","5301","Domestic supply quantity","2511","Wheat and products","2018","2018","1000 tonnes","12248","S","Standardized data"
"FBS","Food Balances (2010-)","21","Brazil","5301","Domestic supply quantity","2511","Wheat and products","2019","2019","1000 tonnes","12066","S","Standardized data"
"FBS","Food Balances (2010-)","21","Brazil","5521","Feed","2511","Wheat and products","2010","2010","1000 tonnes","200","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5521","Feed","2511","Wheat and products","2011","2011","1000 tonnes","500","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5521","Feed","2511","Wheat and products","2012","2012","1000 tonnes","200","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5521","Feed","2511","Wheat and products","2013","2013","1000 tonnes","600","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5521","Feed","2511","Wheat and products","2014","2014","1000 tonnes","300","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5521","Feed","2511","Wheat and products","2015","2015","1000 tonnes","500","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5521","Feed","2511","Wheat and products","2016","2016","1000 tonnes","800","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5521","Feed","2511","Wheat and products","2017","2017","1000 tonnes","500","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5521","Feed","2511","Wheat and products","2018","2018","1000 tonnes","500","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5521","Feed","2511","Wheat and products","2019","2019","1000 tonnes","500","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5527","Seed","2511","Wheat and products","2010","2010","1000 tonnes","230","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5527","Seed","2511","Wheat and products","2011","2011","1000 tonnes","212","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5527","Seed","2511","Wheat and products","2012","2012","1000 tonnes","165","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5527","Seed","2511","Wheat and products","2013","2013","1000 tonnes","214","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5527","Seed","2511","Wheat and products","2014","2014","1000 tonnes","234","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5527","Seed","2511","Wheat and products","2015","2015","1000 tonnes","206","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5527","Seed","2511","Wheat and products","2016","2016","1000 tonnes","255","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5527","Seed","2511","Wheat and products","2017","2017","1000 tonnes","162","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5527","Seed","2511","Wheat and products","2018","2018","1000 tonnes","202","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5527","Seed","2511","Wheat and products","2019","2019","1000 tonnes","209","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5123","Losses","2511","Wheat and products","2010","2010","1000 tonnes","291","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5123","Losses","2511","Wheat and products","2011","2011","1000 tonnes","269","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5123","Losses","2511","Wheat and products","2012","2012","1000 tonnes","209","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5123","Losses","2511","Wheat and products","2013","2013","1000 tonnes","271","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5123","Losses","2511","Wheat and products","2014","2014","1000 tonnes","296","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5123","Losses","2511","Wheat and products","2015","2015","1000 tonnes","258","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5123","Losses","2511","Wheat and products","2016","2016","1000 tonnes","317","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5123","Losses","2511","Wheat and products","2017","2017","1000 tonnes","199","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5123","Losses","2511","Wheat and products","2018","2018","1000 tonnes","247","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5123","Losses","2511","Wheat and products","2019","2019","1000 tonnes","255","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5131","Processing","2511","Wheat and products","2010","2010","","","",""
"FBS","Food Balances (2010-)","21","Brazil","5131","Processing","2511","Wheat and products","2011","2011","","","",""
"FBS","Food Balances (2010-)","21","Brazil","5131","Processing","2511","Wheat and products","2012","2012","","","",""
"FBS","Food Balances (2010-)","21","Brazil","5131","Processing","2511","Wheat and products","2013","2013","","","",""
"FBS","Food Balances (2010-)","21","Brazil","5131","Processing","2511","Wheat and products","2014","2014","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5131","Processing","2511","Wheat and products","2015","2015","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5131","Processing","2511","Wheat and products","2016","2016","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5131","Processing","2511","Wheat and products","2017","2017","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5131","Processing","2511","Wheat and products","2018","2018","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5131","Processing","2511","Wheat and products","2019","2019","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5154","Other uses (non-food)","2511","Wheat and products","2010","2010","1000 tonnes","1","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5154","Other uses (non-food)","2511","Wheat and products","2011","2011","1000 tonnes","1","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5154","Other uses (non-food)","2511","Wheat and products","2012","2012","1000 tonnes","1","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5154","Other uses (non-food)","2511","Wheat and products","2013","2013","1000 tonnes","1","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5154","Other uses (non-food)","2511","Wheat and products","2014","2014","1000 tonnes","2","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5154","Other uses (non-food)","2511","Wheat and products","2015","2015","1000 tonnes","1","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5154","Other uses (non-food)","2511","Wheat and products","2016","2016","1000 tonnes","2","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5154","Other uses (non-food)","2511","Wheat and products","2017","2017","1000 tonnes","1","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5154","Other uses (non-food)","2511","Wheat and products","2018","2018","1000 tonnes","1","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5154","Other uses (non-food)","2511","Wheat and products","2019","2019","1000 tonnes","1","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5171","Tourist consumption","2511","Wheat and products","2010","2010","","","",""
"FBS","Food Balances (2010-)","21","Brazil","5171","Tourist consumption","2511","Wheat and products","2011","2011","","","",""
"FBS","Food Balances (2010-)","21","Brazil","5171","Tourist consumption","2511","Wheat and products","2012","2012","","","",""
"FBS","Food Balances (2010-)","21","Brazil","5171","Tourist consumption","2511","Wheat and products","2013","2013","","","",""
"FBS","Food Balances (2010-)","21","Brazil","5171","Tourist consumption","2511","Wheat and products","2014","2014","","","",""
"FBS","Food Balances (2010-)","21","Brazil","5171","Tourist consumption","2511","Wheat and products","2015","2015","","","",""
"FBS","Food Balances (2010-)","21","Brazil","5171","Tourist consumption","2511","Wheat and products","2016","2016","","","",""
"FBS","Food Balances (2010-)","21","Brazil","5171","Tourist consumption","2511","Wheat and products","2017","2017","","","",""
"FBS","Food Balances (2010-)","21","Brazil","5171","Tourist consumption","2511","Wheat and products","2018","2018","","","",""
"FBS","Food Balances (2010-)","21","Brazil","5171","Tourist consumption","2511","Wheat and products","2019","2019","","","",""
"FBS","Food Balances (2010-)","21","Brazil","5170","Residuals","2511","Wheat and products","2010","2010","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5170","Residuals","2511","Wheat and products","2011","2011","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5170","Residuals","2511","Wheat and products","2012","2012","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5170","Residuals","2511","Wheat and products","2013","2013","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5170","Residuals","2511","Wheat and products","2014","2014","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5170","Residuals","2511","Wheat and products","2015","2015","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5170","Residuals","2511","Wheat and products","2016","2016","1000 tonnes","-1","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5170","Residuals","2511","Wheat and products","2017","2017","1000 tonnes","-2","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5170","Residuals","2511","Wheat and products","2018","2018","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5170","Residuals","2511","Wheat and products","2019","2019","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5142","Food","2511","Wheat and products","2010","2010","1000 tonnes","11747","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5142","Food","2511","Wheat and products","2011","2011","1000 tonnes","10744","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5142","Food","2511","Wheat and products","2012","2012","1000 tonnes","10734","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5142","Food","2511","Wheat and products","2013","2013","1000 tonnes","10841","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5142","Food","2511","Wheat and products","2014","2014","1000 tonnes","11018","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5142","Food","2511","Wheat and products","2015","2015","1000 tonnes","9997","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5142","Food","2511","Wheat and products","2016","2016","1000 tonnes","11116","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5142","Food","2511","Wheat and products","2017","2017","1000 tonnes","10244","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5142","Food","2511","Wheat and products","2018","2018","1000 tonnes","11298","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5142","Food","2511","Wheat and products","2019","2019","1000 tonnes","11100","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","645","Food supply quantity (kg/capita/yr)","2511","Wheat and products","2010","2010","kg","60.02","Fc","Calculated data"
"FBS","Food Balances (2010-)","21","Brazil","645","Food supply quantity (kg/capita/yr)","2511","Wheat and products","2011","2011","kg","54.4","Fc","Calculated data"
"FBS","Food Balances (2010-)","21","Brazil","645","Food supply quantity (kg/capita/yr)","2511","Wheat and products","2012","2012","kg","53.86","Fc","Calculated data"
"FBS","Food Balances (2010-)","21","Brazil","645","Food supply quantity (kg/capita/yr)","2511","Wheat and products","2013","2013","kg","53.92","Fc","Calculated data"
"FBS","Food Balances (2010-)","21","Brazil","645","Food supply quantity (kg/capita/yr)","2511","Wheat and products","2014","2014","kg","54.34","Fc","Calculated data"
"FBS","Food Balances (2010-)","21","Brazil","645","Food supply quantity (kg/capita/yr)","2511","Wheat and products","2015","2015","kg","48.89","Fc","Calculated data"
"FBS","Food Balances (2010-)","21","Brazil","645","Food supply quantity (kg/capita/yr)","2511","Wheat and products","2016","2016","kg","53.92","Fc","Calculated data"
"FBS","Food Balances (2010-)","21","Brazil","645","Food supply quantity (kg/capita/yr)","2511","Wheat and products","2017","2017","kg","49.29","Fc","Calculated data"
"FBS","Food Balances (2010-)","21","Brazil","645","Food supply quantity (kg/capita/yr)","2511","Wheat and products","2018","2018","kg","53.94","Fc","Calculated data"
"FBS","Food Balances (2010-)","21","Brazil","645","Food supply quantity (kg/capita/yr)","2511","Wheat and products","2019","2019","kg","52.59","Fc","Calculated data"
"FBS","Food Balances (2010-)","21","Brazil","664","Food supply (kcal/capita/day)","2511","Wheat and products","2010","2010","kcal/capita/day","433","Fc","Calculated data"
"FBS","Food Balances (2010-)","21","Brazil","664","Food supply (kcal/capita/day)","2511","Wheat and products","2011","2011","kcal/capita/day","393","Fc","Calculated data"
"FBS","Food Balances (2010-)","21","Brazil","664","Food supply (kcal/capita/day)","2511","Wheat and products","2012","2012","kcal/capita/day","389","Fc","Calculated data"
"FBS","Food Balances (2010-)","21","Brazil","664","Food supply (kcal/capita/day)","2511","Wheat and products","2013","2013","kcal/capita/day","390","Fc","Calculated data"
"FBS","Food Balances (2010-)","21","Brazil","664","Food supply (kcal/capita/day)","2511","Wheat and products","2014","2014","kcal/capita/day","392","Fc","Calculated data"
"FBS","Food Balances (2010-)","21","Brazil","664","Food supply (kcal/capita/day)","2511","Wheat and products","2015","2015","kcal/capita/day","353","Fc","Calculated data"
"FBS","Food Balances (2010-)","21","Brazil","664","Food supply (kcal/capita/day)","2511","Wheat and products","2016","2016","kcal/capita/day","389","Fc","Calculated data"
"FBS","Food Balances (2010-)","21","Brazil","664","Food supply (kcal/capita/day)","2511","Wheat and products","2017","2017","kcal/capita/day","356","Fc","Calculated data"
"FBS","Food Balances (2010-)","21","Brazil","664","Food supply (kcal/capita/day)","2511","Wheat and products","2018","2018","kcal/capita/day","388","Fc","Calculated data"
"FBS","Food Balances (2010-)","21","Brazil","664","Food supply (kcal/capita/day)","2511","Wheat and products","2019","2019","kcal/capita/day","378","Fc","Calculated data"
"FBS","Food Balances (2010-)","21","Brazil","674","Protein supply quantity (g/capita/day)","2511","Wheat and products","2010","2010","g/capita/day","11.51","Fc","Calculated data"
"FBS","Food Balances (2010-)","21","Brazil","674","Protein supply quantity (g/capita/day)","2511","Wheat and products","2011","2011","g/capita/day","10.44","Fc","Calculated data"
"FBS","Food Balances (2010-)","21","Brazil","674","Protein supply quantity (g/capita/day)","2511","Wheat and products","2012","2012","g/capita/day","10.34","Fc","Calculated data"
"FBS","Food Balances (2010-)","21","Brazil","674","Protein supply quantity (g/capita/day)","2511","Wheat and products","2013","2013","g/capita/day","10.37","Fc","Calculated data"
"FBS","Food Balances (2010-)","21","Brazil","674","Protein supply quantity (g/capita/day)","2511","Wheat and products","2014","2014","g/capita/day","10.43","Fc","Calculated data"
"FBS","Food Balances (2010-)","21","Brazil","674","Protein supply quantity (g/capita/day)","2511","Wheat and products","2015","2015","g/capita/day","9.39","Fc","Calculated data"
"FBS","Food Balances (2010-)","21","Brazil","674","Protein supply quantity (g/capita/day)","2511","Wheat and products","2016","2016","g/capita/day","10.35","Fc","Calculated data"
"FBS","Food Balances (2010-)","21","Brazil","674","Protein supply quantity (g/capita/day)","2511","Wheat and products","2017","2017","g/capita/day","9.46","Fc","Calculated data"
"FBS","Food Balances (2010-)","21","Brazil","674","Protein supply quantity (g/capita/day)","2511","Wheat and products","2018","2018","g/capita/day","10.33","Fc","Calculated data"
"FBS","Food Balances (2010-)","21","Brazil","674","Protein supply quantity (g/capita/day)","2511","Wheat and products","2019","2019","g/capita/day","10.07","Fc","Calculated data"
"FBS","Food Balances (2010-)","21","Brazil","684","Fat supply quantity (g/capita/day)","2511","Wheat and products","2010","2010","g/capita/day","1.24","Fc","Calculated data"
"FBS","Food Balances (2010-)","21","Brazil","684","Fat supply quantity (g/capita/day)","2511","Wheat and products","2011","2011","g/capita/day","1.13","Fc","Calculated data"
"FBS","Food Balances (2010-)","21","Brazil","684","Fat supply quantity (g/capita/day)","2511","Wheat and products","2012","2012","g/capita/day","1.13","Fc","Calculated data"
"FBS","Food Balances (2010-)","21","Brazil","684","Fat supply quantity (g/capita/day)","2511","Wheat and products","2013","2013","g/capita/day","1.15","Fc","Calculated data"
"FBS","Food Balances (2010-)","21","Brazil","684","Fat supply quantity (g/capita/day)","2511","Wheat and products","2014","2014","g/capita/day","1.13","Fc","Calculated data"
"FBS","Food Balances (2010-)","21","Brazil","684","Fat supply quantity (g/capita/day)","2511","Wheat and products","2015","2015","g/capita/day","1.02","Fc","Calculated data"
"FBS","Food Balances (2010-)","21","Brazil","684","Fat supply quantity (g/capita/day)","2511","Wheat and products","2016","2016","g/capita/day","1.12","Fc","Calculated data"
"FBS","Food Balances (2010-)","21","Brazil","684","Fat supply quantity (g/capita/day)","2511","Wheat and products","2017","2017","g/capita/day","1.02","Fc","Calculated data"
"FBS","Food Balances (2010-)","21","Brazil","684","Fat supply quantity (g/capita/day)","2511","Wheat and products","2018","2018","g/capita/day","1.07","Fc","Calculated data"
"FBS","Food Balances (2010-)","21","Brazil","684","Fat supply quantity (g/capita/day)","2511","Wheat and products","2019","2019","g/capita/day","1.04","Fc","Calculated data"
"FBS","Food Balances (2010-)","21","Brazil","5511","Production","2805","Rice (Milled Equivalent)","2010","2010","1000 tonnes","11236","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5511","Production","2805","Rice (Milled Equivalent)","2011","2011","1000 tonnes","13477","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5511","Production","2805","Rice (Milled Equivalent)","2012","2012","1000 tonnes","11550","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5511","Production","2805","Rice (Milled Equivalent)","2013","2013","1000 tonnes","11783","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5511","Production","2805","Rice (Milled Equivalent)","2014","2014","1000 tonnes","12176","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5511","Production","2805","Rice (Milled Equivalent)","2015","2015","1000 tonnes","12301","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5511","Production","2805","Rice (Milled Equivalent)","2016","2016","1000 tonnes","10622","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5511","Production","2805","Rice (Milled Equivalent)","2017","2017","1000 tonnes","12465","Im","FAO data based on imputation methodology"
